id,name,release_date,developer,publisher,achievements,price
10,Counter-Strike,11/1/2000,Valve,Valve,0,7.19
20,Team Fortress Classic,4/1/1999,Valve,Valve,0,3.99
30,Day of Defeat,5/1/2003,Valve,Valve,0,3.99
40,Deathmatch Classic,6/1/2001,Valve,Valve,0,3.99
50,Half-Life: Opposing Force,11/1/1999,Gearbox Software,Valve,0,3.99
60,Ricochet,11/1/2000,Valve,Valve,0,3.99
70,Half-Life,11/8/1998,Valve,Valve,0,7.19
80,Counter-Strike: Condition Zero,3/1/2004,Valve,Valve,0,7.19
130,Half-Life: Blue Shift,6/1/2001,Gearbox Software,Valve,0,3.99
220,Half-Life 2,11/16/2004,Valve,Valve,33,7.19
240,Counter-Strike: Source,11/1/2004,Valve,Valve,147,7.19
280,Half-Life: Source,6/1/2004,Valve,Valve,0,0
300,Day of Defeat: Source,7/12/2010,Valve,Valve,54,7.19
320,Half-Life 2: Deathmatch,11/1/2004,Valve,Valve,0,3.99
340,Half-Life 2: Lost Coast,10/27/2005,Valve,Valve,0,0
360,Half-Life Deathmatch: Source,5/1/2006,Valve,Valve,0,0
380,Half-Life 2: Episode One,6/1/2006,Valve,Valve,13,5.79
400,Portal,10/10/2007,Valve,Valve,15,7.19
420,Half-Life 2: Episode Two,10/10/2007,Valve,Valve,22,5.79
440,Team Fortress 2,10/10/2007,Valve,Valve,520,0
500,Left 4 Dead,11/17/2008,Valve,Valve,73,7.19
550,Left 4 Dead 2,11/19/2009,Valve,Valve,70,7.19
570,Dota 2,7/9/2013,Valve,Valve,0,0
620,Portal 2,4/18/2011,Valve,Valve,51,7.19
630,Alien Swarm,7/19/2010,Valve,Valve,66,0
730,Counter-Strike: Global Offensive,8/21/2012,Valve,Valve,167,0
1002,Rag Doll Kung Fu,10/12/2005,Mark Healey,Mark Healey,0,5.99
1200,Red Orchestra: Ostfront 41-45,3/14/2006,Tripwire Interactive,Tripwire Interactive,44,3.99
1250,Killing Floor,5/14/2009,Tripwire Interactive,Tripwire Interactive,285,14.99