id,name,clan,country,games,losses,wins
1,GL.JorDan_AoE,,DE,1171,501,670
2,Villese,,FI,1776,638,1138
3,IMP | Capoch,,AR,1021,411,610
4,GL.TaToH,TaToH,ES,750,224,526
5,[aM] Hera,,CA,2678,817,1861
6,[KGB] F1Re,1KGB1,BR,1676,467,1209
7,_WWP_Yo,WWP,CN,1389,506,883
8,mYi.Sitaux,FrCo,FR,559,184,375
9,GL.TheViper,,NO,1081,370,711
10,[aM]_TheMbL_,,NO,2789,821,1968
11,__TheMbL__,,NO,877,205,672
12,___MbL___,,NO,428,102,326
13,BacT,,VN,2277,816,1461
14,ACCM |AOEbuilds.com,,VN,2512,831,1681
15,FB.Kasva,HymTr,TR,4355,1944,2411
16,[aM] Liereyy,,AT,740,246,494
17,Dark,,RU,2246,1083,1163
18,Running,,DE,2389,1025,1364
19,SalzZ_Vinchester,,RU,878,293,585
20,mYi.PROject_Belgium,,BE,3136,1323,1813
21,SongSong_AOE,,VN,2049,914,1135
22,单排杀神,,CN,558,161,397
23,GL.DauT,DauT,RS,1624,655,969
24,CELTS |AOEBuilds.com,,VN,3424,1517,1907
25,HOANG |AOEBuilds.com,Biry,VN,3961,1714,2247
26,__BadBoy__,,VN,806,302,504
27,Nagash,,AR,1129,477,652
28,dogao,,BR,1032,264,768
29,Vodka_L_2,,IT,459,180,279
30,damdamdeo,,FR,160,35,125
31,RoR | Rise,RoR,IT,1962,925,1037
32,Camillo Benso,,IT,144,30,114
33,Rin,,VN,2482,1084,1398
34,Valas,,FI,1271,545,726
35,[bK]bruh,bKlan,BR,1910,865,1045
36,miguel,,BR,1627,696,931
37,SalzZ_classicpro,,UA,932,386,546
38,RoR | Vodka_L_,RoR,IT,1163,507,656
39,mYi.Daniel,,US,1352,627,725
40,GL.slam,,CA,2967,1190,1777
41,[aM] Hearttt,,PE,1453,591,862
42,Babaorum,,FR,2002,861,1141
43,Bố thiên hạ,,VN,154,33,121
44,Zuppi,,FI,1576,724,852
45,_WWP_Tim_,WWP,CN,808,279,529
46,RoR | Rise,,IT,1168,530,638
47,TheRhythm,,TR,1103,493,610
48,TheMax,,FI,733,240,493
49,IMP | Sobek,,CL,1330,548,782
50,The_Dragonstar,DRMP,IN,1230,540,690
51,人菜瘾大,,CN,119,22,97
52,CL.Darknoob,C1own,NL,3281,1543,1738
53,Ds_Lucky_Rox,Biry,AR,993,446,547
54,saymyname,,VN,1811,673,1138
55,Phantom of the Desert,,DE,1263,474,789
56,WallAndBoom,,BR,337,132,205
57,Gkt_cloud,ALL,TW,1954,892,1062
58,GL.Nili,Liiit,DE,1595,730,865
59,The Illusionist,CZC,SK,1355,632,723
60,Bacttan,,VN,116,20,96
61,[HyM]Cyclops,HymTr,TR,883,395,488
62,StronkStronk,,AR,600,248,352
63,KennyS,,CN,10,1,9
64,Fish,,AR,667,311,356
65,AssassinOstrich,,BR,384,142,242
66,_WWP_StrayDog,AreS,CN,1325,562,763
67,Heresy | LaN,,ES,859,312,547
68,The Last AMIGO,,SI,349,135,214
69,_WWP_武大龙,WWP,CN,1345,434,911
70,Overtaken,,EE,1213,568,645
71,chart,ALL,JP,773,316,457
72,Carpincho,,AR,306,127,179
73,RoR | Noisick,RoR,CL,1127,491,636
74,Fedex,,AR,593,248,345
75,LY001,,CN,676,279,397
76,RoR | Whitecourt,RoR,CL,839,374,465
77,_WWP_DragonBo,WWP,HK,320,125,195
78,_WWP_san,WWP,CN,123,25,98
79,twitch.tv/st4rk_,,BR,907,345,562
80,_Hallis,RoR,GB,2531,1222,1309
81,RoR | Rise,,IT,312,115,197
82,Freestyler,,TR,122,46,76
83,_WWP_lyx,WWP,CN,1284,563,721
84,Tartopum,,FR,166,45,121
85,Shades,HSLs,IT,646,311,335
86,Mr.Bean,VNS,VN,1729,819,910
87,TheF1ReAoE,,BR,117,16,101
88,Uzzi,LGeS,MX,1826,881,945
89,CL.RmcooTheHater_,C1own,LT,1665,807,858
90,Luden,,CL,218,65,153
91,Sarin,,CA,508,210,298
92,乌拉圭人,,UY,509,215,294
93,CL.DracKeN,C1own,CZ,4949,2245,2704
94,_Levi_,,AR,1030,476,554
95,Margou,,FR,292,116,176
96,Margougou,SINGE,FR,880,397,483
97,屠个蛋,,CN,268,94,174
98,Scotty,,US,1298,601,697
99,[KT]FeAge,,BR,347,135,212
100,Unutulacak Dünler,,DE,70,5,65
101,我是菜鳥,,AR,210,71,139
102,[KT] KingstoNe,Combi,MX,580,292,288
103,SuN | Keno_,SunZ,MX,1008,450,558
104,潮州工夫Tea,,CN,554,248,306
105,[Pcific] AlperenAoe,MeSo1,TR,1505,726,779
106,=x=,ALL,TW,150,58,92
107,噪音病,NAPS,CL,324,135,189
108,sora kuma,murr,TW,720,319,401
109,repard,,RU,1110,523,587
110,Call_Me_SuBotai,,UY,535,226,309
111,Domingo De Resaca,,AR,206,84,122
112,Mihai06,ROTLD,RO,1675,804,871
113,_WWP_偶像先生,WWP,CN,1813,871,942
114,NOC | komtan,mome,JP,930,411,519
115,bacty,,VN,216,73,143
116,FreakinAndy,,AT,556,242,314
117,Skillyourself,,NO,355,148,207
118,Falcao,,BR,155,49,106
119,[KGB] Alive,1KGB1,BR,803,392,411
120,[XEVER] M,XEVER,AR,1932,945,987
121,^^anomeL,,RU,226,67,159
122,Inc,,US,2260,1060,1200
123,Twigg,Biry,AR,909,397,512
124,Kongen,,DK,2953,1443,1510
125,Mr Greed,DarkL,PT,2084,948,1136
126,FanDeMiSueno (V),FrCo,FR,576,246,330
127,Skull,CZC,CZ,2185,1051,1134
128,emalius2,Suomi,FI,1369,650,719
129,Kulk,,TR,270,106,164
130,Whocl,,CL,228,83,145
131,_WWP_Bad Koala,WWP,CN,884,403,481
132,TheirishPixie,,IE,146,45,101
133,DS_Sebastian2002,Biry,UY,1311,609,702
134,Andre_2i,ROTLD,RO,3505,1720,1785
135,FreaklnAndy,,AT,877,417,460
136,YoungBae,,AR,1041,511,530
137,NoMeLaHoanteiner,Biry,AR,397,169,228
138,RoR | AngelinaJolie,RoR,NL,1667,729,938
139,SonyToprano,,TR,2597,1242,1355
140,Lukas,,DE,1805,883,922
141,_WWP_Iroha,WWP,CN,1973,937,1036
142,Are You OK?,,AR,189,62,127
143,CL.D3rp,C1own,NL,1613,755,858
144,DS_Biry,Biry,AR,193,65,128
145,PL_Dziamdziak,,PL,941,448,493
146,El_Matador,,DE,2930,1437,1493
147,HENTBOLCU60,,TR,500,220,280
148,Garyyyyyyy,,AR,181,67,114
149,[KT] KingstoN,Combi,MX,238,108,130
150,qingxudashi,WWP,CN,762,343,419
151,Hawks,,PT,837,380,457
152,fire_de,,AU,2684,1256,1428
153,NOC,mome,JP,572,256,316
154,Dratek,,CZ,626,276,350
155,KingstoNe,Combi,MX,739,354,385
156,MestreDosMagos,,BR,1078,502,576
157,LY008,,CN,745,297,448
158,Gyarados,,MX,313,132,181
159,Gann1cus,,TW,494,217,277
160,T90Official,,US,1319,613,706
161,Ubetnir,,TR,710,329,381
162,pushTheTempo,,CZ,375,166,209
163,[Slip]FeAge,Slip,CA,1069,494,575
164,_WWP_Whoop,,CN,2288,1109,1179
165,Gary_,,AR,218,81,137
166,HaroldTheDuck,,US,612,262,350
167,[bK] AnTiDeMoN,bKlan,BR,1460,706,754
168,_WWP_屠神1,WWP,CN,1057,484,573
169,_Killua_,,AR,369,157,212
170,Ideas.Necias,SunZ,MX,1056,497,559
171,[HyM]Rusher,HymTr,TR,1095,517,578
172,[o.p.]manzilla,1OP1,DE,175,60,115
173,DemonSheep,KYO,TW,1984,924,1060
174,Rayzor,AUNZ,AU,575,253,322
175,Hombre de armas,,DE,503,215,288
176,GLX_Rusher,Bizim,TR,1759,860,899
177,QNA_WHOCL,QNA,CL,1888,922,966
178,Birystock,,AR,133,40,93
179,Cl3m3nT,FrCo,FR,680,294,386
180,LobodeLaNieve,Combi,MX,198,68,130
181,[KGB] Leozim_,1KGB1,BR,1072,485,587
182,Dobbs351,,DK,2872,1350,1522
183,DarK | Spring,,US,1468,710,758
184,雾,,CN,136,36,100
185,DS_Biry,Biry,AR,436,189,247
186,_Tomate,AdMis,ES,1465,715,750
187,宰臭猪,,AU,715,313,402
188,Bladester,,GB,747,341,406
189,CZ_Somero,CZC,CZ,521,233,288
190,Emil er lort hehe,,DK,250,98,152
191,[o.p.]wunderjunge,1OP1,DE,263,101,162
192,Good_luck,TDO,DK,827,375,452
193,Koenma,,BR,183,67,116
194,[HyM]Yasin,HymTr,TR,1148,541,607
195,z40305125,KYO,TW,1011,454,557
196,ys1n,,TR,333,140,193
197,Azazel_Ameri,,CZ,500,230,270
198,TheRip,NYK,TR,94,20,74
199,RoR | Kamigawa,RoR,DE,193,65,128
200,DS_Virgy,Biry,AR,353,159,194
201,DANSK STOLTHED,,DK,315,130,185
202,Fenix,,BR,195,66,129
203,KingstoN,,MX,143,43,100
204,旋律,xxdg,CN,943,447,496
205,Emil :D,,DK,2747,1345,1402
206,Kira,,BR,292,113,179
207,TheAntman,Suomi,FI,565,253,312
208,[SiG] Aramis,S1G,AR,394,161,233
209,_XD_xiaofan,,CN,1113,522,591
210,Blade,,GB,1235,574,661
211,Alexis Sanchez,,CL,233,89,144
212,MeLoveXbox,,US,203,69,134
213,SkyWalker,Combi,MX,133,40,93
214,Сергей Бодров,,RU,235,95,140
215,Rogier505,RoR,NL,949,446,503
216,LA CHINA SUAREZ,Biry,AR,3865,1916,1949
217,Frightlessbird,,NZ,130,39,91
218,ScrewAttack,,CO,2312,1115,1197
219,GodOfTheGodless,,DE,2532,1186,1346
220,Survivalist,,CA,4529,2217,2312
221,[bK]martinhs_,bKlan,BR,858,384,474
222,Ba'al,,SK,95,47,48
223,_LHD_xiaohai,,CN,2813,1376,1437
224,Kik0_,CiiD,DO,3894,1931,1963
225,DarK | Adam,DRMP,MX,1197,570,627
226,RoR | Shades,RoR,IT,1119,536,583
227,bobdedestructor,,DK,1719,842,877
228,Carbo__,,AR,874,406,468
229,halo,GDDR,TR,145,45,100
230,Dr Favio Surdeli,,BR,203,74,129
231,RecoN,KLUK,GB,1492,726,766
232,RoR | GoldenAcid,RoR,NL,118,36,82
233,HamRTime,,AU,475,206,269
234,Wallace,SSx,BR,407,183,224
235,UD_,,CZ,765,356,409
236,パワハラ (aka nomonomo),,JP,164,62,102
237,Nightstyle,,DE,1609,782,827
238,KARA___,SECRT,TR,471,209,262
239,StonePleaseAoE,HrsS,DE,1410,671,739
240,VonBilskie,,NL,671,311,360
241,November,BSAIL,PK,19,12,7
242,Socksyy,,AU,697,318,379
243,Barry,Chart,TW,102,34,68
244,Salted Pepper,HØNK,NL,1097,527,570
245,Walking Disaster,,FR,141,44,97
246,CL.JonSlow,C1own,IL,3409,1658,1751
247,Poxo,,ES,595,270,325
248,Draconian,,GB,791,369,422
249,GDucky,VNS,VN,369,155,214
250,|| V.POWER || +SHED,,AU,451,193,258
251,TM uno1,TMTV,AR,616,279,337
252,SalzZ_Good_Game,RusF,RU,3778,1866,1912
253,hellboy,,FI,182,63,119
254,Håland,,IT,583,287,296
255,会所橘猫,DCDB,CN,973,448,525
256,_WWP_浩南,WWP,KH,233,85,148
257,RediRodion,Anvil,PL,1720,848,872
258,chaos_2_win,,DE,884,422,462
259,Muhammed,SECRT,TR,480,215,265
260,Acidkid,Combi,MX,67,34,33
261,DS_Carbo__,Biry,AR,3063,1490,1573
262,_WWP_Paladin,WWP,CN,533,219,314
263,StoneWaller,,BR,76,15,61
264,_grammy_,,DE,86,17,69
265,Neuros,,DE,60,7,53
266,JazBas,,NZ,916,429,487
267,MrPlanner,HymTr,SI,487,243,244
268,[Real] TRM,Reals,CH,800,368,432
269,OX | _SpAldInG_,ORUX,CO,1104,518,586
270,only,,CN,291,132,159
271,DarK | SpringTV,DRMP,US,2425,1156,1269
272,[Vgb] Cain,Vgbnd,BR,425,196,229
273,[BSAILS] DOOMSTER :D,BSAIL,IN,467,195,272
274,TurkishTrading,,DE,1247,604,643
275,czczcz,DeX,KR,806,365,441
276,Dr.Kozmonot,NYK,TR,866,408,458
277,CL.TheBloodless,C1own,US,3026,1451,1575
278,[KGB] Wonderziin,1KGB1,BR,168,58,110
279,DS_Nacho_10,Biry,AR,914,424,490
280,flightlessbird,AUNZ,NZ,353,141,212
281,Zaid@voobly,BSAIL,PK,474,200,274
282,[CHI]Felipe_,,CL,796,375,421
283,[CHI]_WombatAttack,,CL,259,107,152
284,_ViRuS_PuLsE,,GB,452,201,251
285,QuocNhat,VNW,VN,161,55,106
286,Ranger,,AT,1915,942,973
287,I0NST0RM,BOIM,DE,171,61,110
288,Zeddddddd,,VN,248,90,158
289,k,NAPS,CL,512,234,278
290,_WWP_正宗土蜂mi,WWP,CN,2037,987,1050
291,[CHI]_FelipeAOE,,CL,110,33,77
292,Stackers | SMR,Stack,IN,387,160,227
293,_WWP_Dooidy,WWP,CN,717,334,383
294,ElScoghito_,,DE,444,201,243
295,remember,,TR,505,228,277
296,ArenRTime,,AU,364,154,210
297,ElNoniro,Druz,PL,108,27,81
298,ANFO,,PL,613,271,342
299,[🥕]King_Boo,,GB,480,212,268
300,nC | Andorin,newC,DE,702,326,376
